SENDER,PRICE DATE,PROFIL MI,CODE BASE SEC,SEC DSC,IBPA PRICE,MI PRICE,UPPER PRICE,LOWER PRICE,REASON
IBPA,20180813,BZ002,BFIN02CCN3,OBL BKLJT II BFI FINANCE IND THP III TH2016 SERI C,101.663585,101.663600,102.663585,100.663585,
IBPA,20180813,BZ002,BFIN03ACN3,OBL BKLJ III BFI FINANCE IND THP III TH2017 SERI A,99.928285,99.928300,100.928285,98.928285,
IBPA,20180813,BZ002,BFIN03ACN4,OBL BKLJT III BFI FINANCE IND THP IV TH2018 SERI A,99.329357,100.329300,100.329357,98.329357,
IBPA,20180813,BZ002,BFIN03BCN1,OBL BKLJ III BFI FINANCE INDONESIA THP I TH16 SR B,100.236218,100.236200,101.536218,98.936218,
IBPA,20180813,BZ002,BFIN03BCN2,OBL BKLJT III BFI FINANCE IND THP II TH2017 SERI B,100.708002,100.708000,102.008002,99.408002,
IBPA,20180813,BZ002,BFIN03BCN3,OBL BKLJ III BFI FINANCE IND THP III TH2017 SERI B,98.672026,98.672000,99.972026,97.372026,
IBPA,20180813,BZ002,BFIN03BCN4,OBL BKLJT III BFI FINANCE IND THP IV TH2018 SERI B,97.949509,97.949500,99.249509,96.649509,
IBPA,20180813,BZ002,BFIN03CCN3,OBL BKLJ III BFI FINANCE IND THP III TH2017 SERI C,97.245843,97.245800,98.545843,95.945843,
IBPA,20180813,BZ002,BFIN03CCN4,OBL BKLJT III BFI FINANCE IND THP IV TH2018 SERI C,96.155063,96.155100,97.455063,94.855063,
IBPA,20180813,BZ002,BIIF01ACN1,OBL BKLJT I BII FINANCE TAHAP I TH 2015 SERI A,100.889714,100.889700,101.889714,99.889714,
IBPA,20180813,BZ002,BIIF01ACN2,OBL BKLJT I MAYBANK FINANCE TAHAP II TH2016 SERI A,101.158690,101.158700,102.158690,100.158690,
IBPA,20180813,BZ002,BIIF01ACN3,OBL BKLJ I MAYBANK FINANCE TAHAP III TH2016 SERI A,100.558226,100.558200,101.858226,99.258226,
IBPA,20180813,BZ002,BIIF01ACN4,OBL BKLJ I MAYBANK FINANCE TAHAP IV TH2017 SERI A,97.867060,97.867100,99.167060,96.567060,
